specObjID,ra,dec,z
5457340576944115712,178.63624,5.4394568,0.4785179
5365149821178236928,178.62095,5.4402316,0.4782011
5365150645811957760,178.65249,5.4288436,0.4787642
5457341126699929600,178.65178,5.4275978,0.4787567
5365150920689864704,178.62406,5.4101039,0.4951835
5365151470445678592,178.6074,5.3822719,0.3950849
5365150370934050816,178.66814,5.4104996,0.4766579
5457339477432487936,178.63869,5.3810915,0.5601078
5457329581827837952,178.66379,5.4091089,0.6142192
5457340027188301824,178.62631,5.4113493,0.4915052
5457321335490629632,178.90754,5.6168949,0.4792687
5457320785734815744,178.80627,5.5230012,0.5140613
5457330681339465728,178.73379,5.5999502,0.615544
5457331780851093504,178.6965,5.5745116,0.5144799
5457336453775511552,178.62484,4.9903419,0.2269312
5365153119713120256,178.72247,5.1016211,0.4954039
946979443157526528,178.72506,5.093588,0.07443915
5365154219224748032,178.68777,5.0606282,0.6154488
5457340302066208768,178.69426,5.0716311,0.3947341
946978893401712640,178.63843,5.071664,0.07884198
5457318036955746304,178.88488,5.2341291,0.4826558
946980267791247360,178.78669,5.2322704,0.08015765
5457328482316210176,178.80229,5.1757964,0.5146595
5365161915806142464,178.81123,5.2141461,0.4445813
5457329032072024064,178.81128,5.2189872,0.4416447
5365152020201492480,178.59921,5.2677572,0.4983853
5365150096056143872,178.61986,5.2607358,0.5117807
946977793890084864,178.61258,5.1860158,0.08257516
5457337278409232384,178.68293,5.2759144,0.4777438
5365152569957306368,178.7079,5.2166676,0.6144804
5457336728653418496,178.70145,5.2130067,0.6133983
5365152295079399424,178.74992,5.2138787,0.3724961
5457329306949931008,178.7463,5.211399,0.3730095
5457338377920860160,178.66588,5.1621997,0.5153767
5457339202554580992,178.65076,5.138652,0.3129226
5365153669468934144,178.67636,5.1203377,0.4338184
946997585099384832,179.15883,5.5959131,0.1485056
945906319792039936,179.19396,5.5446082,0.03927377
945926385879246848,179.19655,5.6008376,0.1073533
947001158512175104,179.17141,5.5638103,0.07636086
5457309790618537984,178.99127,5.5139641,0.4762039
946987414616827904,178.98409,5.5671844,0.08193589
5457307041839468544,179.09202,5.4355701,0.4808496
946986864861014016,179.08278,5.4504353,0.07524665
5457319136467374080,179.01336,5.3940435,0.6094292
946987689494734848,179.02008,5.5194926,0.08248225
5457309240862724096,179.00842,5.4852831,0.4755821
946986589983107072,179.07047,5.5324026,0.07563681
5457308691106910208,179.03238,5.4737217,0.4753335
5457316387688304640,178.92784,5.3200481,0.5166028
5457320235979001856,178.91174,5.4740611,0.5623915
5457319686223187968,178.84713,5.5402659,0.5978924
945894225164134400,178.66202,5.296287,0.08742395
5457338927676674048,178.6686,5.3314496,0.5129079
5457330131583651840,178.75791,5.3667646,0.6123754
5365160816294514688,178.76494,5.319491,0.6146578
946979992913340416,178.8176,5.3672792,0.07635026
5457316112810397696,178.90244,5.4395059,0.5136239
946967348529620992,178.59596,4.25396,0.09667364
945772179373451264,178.59615,4.2739486,0.07350077
5365158617271259136,178.68262,4.3518577,0.4828697
5365159991660793856,178.62338,4.3305499,0.316889
945785098635077632,178.65025,4.3535487,0.07489181
5365167413364281344,178.81037,4.5331964,0.5143843
5365166863608467456,178.79852,4.4965264,0.5051543
945795543995541504,178.62939,4.479244,0.1290295
5365156418248003584,178.71904,4.5466514,0.4555013
5365155868492189696,178.68261,4.5470809,0.5781432
945788672047867904,178.74216,4.5483595,0.4519928
946968997797062656,178.61913,4.4174671,0.563056
5365157517759631360,178.64803,4.4569924,0.4481119
946945083419158528,179.21111,4.8456329,0.1693076
945764757669963776,179.20863,4.842727,0.1695259
945909893204830208,179.12817,4.9238794,0.07338133
946944533663344640,179.14618,4.9205009,0.1680238
945787572536240128,178.94055,4.858386,0.118996
945777951809497088,179.00439,4.9137142,0.0714616
